,chart_position,track,artist,streams,url
1053527,168,Bon Apetit,Biggie Juke,142894,https://open.spotify.com/track/56biY2NCtR1sONxxXefac2
1053530,171,Ba så (feat. Asme),K27,141243,https://open.spotify.com/track/212cjNluqgnKvF6uR3QcEI
1053535,176,Best Time’s Right Now,Lance & Linton,138192,https://open.spotify.com/track/0GoIGVoX1ZYPeb1BvzaTYP
1053537,178,Pilot,Karo x Parana,137015,https://open.spotify.com/track/5xU0ZJLFSvUOMeAza8ejxW
1053539,180,BOYS WITH EMOTIONS,FELIX SANDMAN,135570,https://open.spotify.com/track/22K6G9TGc7uYaAao3h6IHA
1053542,183,Troubled Waters,Victor Crone,133907,https://open.spotify.com/track/1raz4eVynj6vUaJdEDCPcQ
1053546,187,KAPABEL 3,Dree Low,131680,https://open.spotify.com/track/66t7aHdbaIEoAr6k2Tlgl4
1053549,190,Molnljus,William Stridh,130431,https://open.spotify.com/track/19rZr2FYtbrkDVYuNkmsjw
1053653,94,Hell Ye,Abidaz,200172,https://open.spotify.com/track/4vgp0oUIqbtqZeThAOlXhl
1053668,109,GUBBS,De Vet Du,186200,https://open.spotify.com/track/4w3j1axSc5mp9xUNjHyLoq
1053698,139,Rör mig som du,HON,164907,https://open.spotify.com/track/0ty3EJyfaqf9a3RzPFKwXa
1053703,144,Ungen,Stress,162595,https://open.spotify.com/track/4HeXDNi6tZMp419MW8DZqu
1053713,154,FÖRSENT 2,Greekazo,155811,https://open.spotify.com/track/4SCGuSoP9wyKhZ8yAhFplI
1053732,173,Annan Kaliber,Ant Wan,142776,https://open.spotify.com/track/0Od5NgewZTlogExXBOX5jC
1053735,176,Lila,Asme,141967,https://open.spotify.com/track/3JjsTTUgaPdLlLKtKL7OD0
1053739,180,Höjer Våra Glas,De Vet Du,140436,https://open.spotify.com/track/1IHXQ1VBdCWaYkr9G8Y385
1053740,181,Goat,Ant Wan,139332,https://open.spotify.com/track/2hRaTAASHhdunhO2nj4mwl
1053745,186,Bäng,De Vet Du,138154,https://open.spotify.com/track/4UUTIkbsWPJgNPARjkDk1o
1053746,187,LIGA,Dree Low,137375,https://open.spotify.com/track/6obFuCsiq9EwbbqOekEJbA
1053751,192,Gasolina,Ant Wan,133569,https://open.spotify.com/track/2WQMweBeFiw1ceWqVBTkPC
1053753,194,BODEGA,Dree Low,132433,https://open.spotify.com/track/2kvosgTUCQZhA0LBJbZnXH
1053754,195,DSGIS,Yasin,132020,https://open.spotify.com/track/1ett0ayp7e0sad3oWQtJPQ
1053755,196,Intro,Asme,131920,https://open.spotify.com/track/1SbJBcUW86KgmIfbOOCQAt
1053756,197,Smartare,estraden,131472,https://open.spotify.com/track/3xY2iyO2p65Z7j8Sck1CiY
1053757,198,TG4M - Spotify Studios Recording,Nea,131286,https://open.spotify.com/track/4A8UGOAh2OYM6hn6tTI95H
1053925,166,vasägeru?,L1NA,151332,https://open.spotify.com/track/0KRTVx6d9Kz43xk14mOorZ
1053929,170,Jag har en fråga,BL,148201,https://open.spotify.com/track/5O8QMtH1VsHCBdMDE14OTz
1053937,178,Vamos Amigos,Mendez,141691,https://open.spotify.com/track/60Qib6jBxNJGCxVk8mJeRI
1053939,180,Creep - mint Singles,R3HAB,140944,https://open.spotify.com/track/5LRxdeykOfvKb1aWGrrGyo
1053947,188,GFLOW,Z.E,134694,https://open.spotify.com/track/7gMT1TuYIIAYI0LSsiJsow
1053955,196,Vaffanculo,Blizzy,131393,https://open.spotify.com/track/7abPBEcEgF2KzrkNy5s5hZ
1053956,197,Bang My Head,KIDDO,131390,https://open.spotify.com/track/5R9SlTTXsZd8TaLvUn0tSy
1054104,145,Saker som gör ont,Norlie & KKV,154420,https://open.spotify.com/track/19nJ4Tvu8BOwUfzKdWTXHZ
1054135,176,Grown Ups,Ringnes-Ronny,133247,https://open.spotify.com/track/3Rn3gQyNXS3l2Ail9Ag9sr
1054138,179,En sista minut,Mares,132073,https://open.spotify.com/track/2voNjIm2S49QlooOIiot19
