"Year","TradeFlowName","TradeValue_in_1000_USD","NetWeight_in_KGM","first","second","third","fourth"
"2014","Export","538145.564","1061772207","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2015","Export","624.339","805993","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2016","Export","0.165","201","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2017","Export","0.054","8","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2018","Export","964.831","943737","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2018","Import","0.02","20","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2019","Export","1865.764","5501401","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2019","Import","0.634","765","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Soybeans"
"2008","Export","364.349","176269","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2008","Import","1799.449","1740511","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2009","Export","1050.926","1022419","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2009","Import","568.031","234152","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2010","Export","338.28","228138","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2010","Import","770.501","561458","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2011","Export","142.044","93482","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2011","Import","427.198","110533","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2012","Export","512.066","341548","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2012","Import","589.695","140605","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2013","Export","638.593","346647","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2013","Import","8814.664","1344580","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2014","Export","561.236","250991","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2014","Import","2245.714","797291","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2015","Export","1648.642","2937754","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2015","Import","1337.767","1211421","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2016","Export","374.627","216601","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2016","Import","14580.868","14315862","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2017","Export","623.069","481285","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2017","Import","6127.865","6044268","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2018","Export","449.65","488528","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2018","Import","781.226","927790","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2019","Export","951.279","1171214","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2019","Import","1720.938","1854595","Agricultural, forestry, and fishery","Agricultural products","Cash grains and other crops","Cash grains, nspf"
"2008","Export","324638.758","84111537","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
"2008","Import","44690.765","23853337","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
"2009","Export","315040.793","72079412","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
"2009","Import","21490.436","12300454","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
"2010","Export","247620.141","56757351","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
"2010","Import","37844.358","19006834","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
"2011","Export","284495.912","62341727","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
"2011","Import","357922.097","131961997","Agricultural, forestry, and fishery","Agricultural products","Field crops, except cash grains","Field crops, except cash grains"
