Year,TradeFlowName,TradeValueK,ProductCode,first,second,third,fourth
2012,Export,56635.099,14,1,14,14,14
2010,Import,66101.82,39,3,39,39,39
2013,Export,29879.238,23,2,23,23,23
2015,Import,66418.75,39,3,39,39,39
2015,Export,3142061.22,37,3,37,37,37
2015,Import,361425.559,26,2,26,26,26
2012,Export,122679.558,39,3,39,39,39
2018,Export,718396.189,36,3,36,36,36
2016,Import,36249.918,27,2,27,27,27
2013,Import,10848.876,91,9,91,91,91
2010,Export,226657.192,10,1,10,10,10
2012,Export,72412.812,09,0,09,09,09
2019,Export,295945.833,10,1,10,10,10
2008,Export,1256711.546,36,3,36,36,36
2018,Export,1284281,24,2,24,24,24
2012,Import,434973.061,26,2,26,26,26
2012,Import,39803.176,02,0,02,02,02
2017,Export,567618.055,36,3,36,36,36
2016,Import,133030.2,25,2,25,25,25
2009,Import,2202.445,09,0,09,09,09
2013,Export,10122.129,08,0,08,08,08
2009,Export,55988.115,14,1,14,14,14
2018,Export,913968.894,32,3,32,32,32
2008,Export,4492444.729,33,3,33,33,33
2015,Export,56498.432,14,1,14,14,14
2015,Export,875889.399,24,2,24,24,24
2017,Import,37278.018,27,2,27,27,27
2015,Export,32861.886,27,2,27,27,27
2010,Export,8015.303,08,0,08,08,08
2012,Import,1800423.732,36,3,36,36,36
2012,Import,1936323.105,38,3,38,38,38
2011,Export,79134.935,09,0,09,09,09
2016,Import,1427153.624,38,3,38,38,38
2009,Import,1221198.47,36,3,36,36,36
2019,Export,1251410.282,01,0,01,01,01
2010,Import,643744.679,30,3,30,30,30
2012,Import,45730.321,27,2,27,27,27
2010,Import,126635.542,22,2,22,22,22
2008,Import,219749.307,14,1,14,14,14
2010,Import,36370.648,02,0,02,02,02
2008,Export,2933196.429,35,3,35,35,35
2009,Import,719811.136,34,3,34,34,34
2019,Export,27680.35,27,2,27,27,27
2010,Import,13118.826,10,1,10,10,10
2014,Export,63419.126,14,1,14,14,14
2013,Export,28776.171,27,2,27,27,27
2019,Import,77012.026,25,2,25,25,25
2012,Import,7815008.802,35,3,35,35,35
2013,Export,988034.98,32,3,32,32,32
2017,Export,965818.229,32,3,32,32,32
2008,Import,40932.267,27,2,27,27,27
2011,Export,536424.895,24,2,24,24,24
2016,Import,521447.018,12,1,12,12,12
2014,Import,151781.975,14,1,14,14,14
2019,Export,2272602.813,20,2,20,20,20
2013,Export,3995493.995,33,3,33,33,33
2016,Import,436.859,21,2,21,21,21
2016,Export,31233.4,23,2,23,23,23
2014,Import,4947.334,31,3,31,31,31
2015,Import,6349345.264,35,3,35,35,35
2012,Export,28830.868,27,2,27,27,27
2018,Export,12739.793,08,0,08,08,08
2013,Import,10350.377,24,2,24,24,24
2008,Export,186724.839,22,2,22,22,22
2008,Import,899907.449,34,3,34,34,34
2009,Export,481158.428,31,3,31,31,31
2014,Import,50689.876,27,2,27,27,27
2008,Import,575.575,21,2,21,21,21
2012,Export,5687290.22,13,1,13,13,13
2010,Import,142277.449,25,2,25,25,25
2011,Export,2166420.282,01,0,01,01,01
2017,Import,184371.365,01,0,01,01,01
2014,Import,1178277.806,34,3,34,34,34
2017,Export,2246883.359,20,2,20,20,20
2015,Export,663462.592,36,3,36,36,36
2018,Export,28051.399,23,2,23,23,23
2012,Import,145550.215,25,2,25,25,25
2009,Import,454650.438,30,3,30,30,30
2010,Import,196645.015,32,3,32,32,32
2015,Export,2131864.694,13,1,13,13,13
2012,Import,6158.368,31,3,31,31,31
2010,Export,112956.528,23,2,23,23,23
2018,Export,1221204.71,26,2,26,26,26
2013,Export,743565.152,24,2,24,24,24
2011,Export,349707.789,29,2,29,29,29
2015,Import,12440.066,09,0,09,09,09
2011,Import,6714.508,09,0,09,09,09
2008,Export,816149.656,24,2,24,24,24
2014,Export,838563.133,24,2,24,24,24
2010,Import,2999462.86,13,1,13,13,13
2015,Export,1028622.722,32,3,32,32,32
2015,Import,1535418.089,36,3,36,36,36
2014,Export,79482.529,91,9,91,91,91
2013,Export,91693.33,09,0,09,09,09
2017,Export,4462914.634,33,3,33,33,33
2018,Import,11245.431,10,1,10,10,10
2019,Export,1545776.776,28,2,28,28,28
2018,Import,589325.906,34,3,34,34,34
2019,Import,7989.392,31,3,31,31,31
2013,Export,56860.452,14,1,14,14,14
2014,Import,15072.652,09,0,09,09,09
2019,Import,860254.077,37,3,37,37,37
2009,Import,331362.471,26,2,26,26,26
2017,Export,2759329.764,37,3,37,37,37
2016,Export,119433.921,02,0,02,02,02
2014,Import,501002.83,33,3,33,33,33
2012,Import,18561.8,91,9,91,91,91
2008,Export,43982.613,02,0,02,02,02
2008,Export,690546.275,31,3,31,31,31
2018,Import,3371272.431,35,3,35,35,35
2014,Import,214622.098,32,3,32,32,32
2016,Export,3201206.712,33,3,33,33,33
2010,Export,1409775.829,20,2,20,20,20
2013,Import,1161778.089,34,3,34,34,34
2010,Export,631171.793,37,3,37,37,37
2012,Export,1856.579,21,2,21,21,21
2009,Import,101041.715,01,0,01,01,01
2019,Import,614559.043,30,3,30,30,30
2015,Export,149218.622,39,3,39,39,39
2016,Import,96618.758,22,2,22,22,22
2010,Export,125262.82,22,2,22,22,22
2008,Import,6856.045,08,0,08,08,08
2016,Import,5524338.726,35,3,35,35,35
2016,Import,124432.785,32,3,32,32,32
2008,Export,335823.453,10,1,10,10,10
2016,Export,1408175.315,13,1,13,13,13
2013,Export,3691451.93,13,1,13,13,13
2009,Import,146166.349,25,2,25,25,25
2018,Export,519993.765,34,3,34,34,34
2016,Export,149841.979,25,2,25,25,25
2012,Import,1360629.89,12,1,12,12,12
2018,Import,91743.344,22,2,22,22,22
2011,Export,98109.256,22,2,22,22,22
2014,Import,614581.621,20,2,20,20,20
2009,Export,33840.095,27,2,27,27,27
2014,Import,411285.087,26,2,26,26,26
2014,Export,115349.878,02,0,02,02,02
2008,Import,1530591.656,36,3,36,36,36
2010,Import,464978.126,29,2,29,29,29
2013,Import,2068368.297,36,3,36,36,36
2016,Import,328553.523,01,0,01,01,01
2017,Export,88737.004,22,2,22,22,22
2017,Export,1502884.973,28,2,28,28,28
2013,Import,381382.518,29,2,29,29,29
2016,Export,246151.389,29,2,29,29,29
2010,Export,1027166.284,28,2,28,28,28
2010,Import,6561225.026,35,3,35,35,35
2019,Import,868455.169,20,2,20,20,20
2017,Import,1075020.499,12,1,12,12,12
2012,Import,6742.471,08,0,08,08,08
2014,Import,15800.267,24,2,24,24,24
2018,Import,1104995.944,36,3,36,36,36
2011,Export,242890.892,38,3,38,38,38
2016,Export,222042.332,10,1,10,10,10
2017,Import,4554.857,91,9,91,91,91
2013,Export,136816.706,39,3,39,39,39
2017,Import,284080.513,26,2,26,26,26
2015,Import,3045655.059,13,1,13,13,13
2009,Import,65939.061,14,1,14,14,14
2016,Import,48653.236,39,3,39,39,39
2008,Import,53913.198,39,3,39,39,39
2013,Import,150428.663,22,2,22,22,22
2008,Export,2211209.061,20,2,20,20,20
2009,Export,861092.16,36,3,36,36,36
2013,Export,441899.343,29,2,29,29,29
2008,Export,13397.01,08,0,08,08,08
2012,Export,209845.735,10,1,10,10,10
2011,Import,730531.614,30,3,30,30,30
2015,Import,1659429.272,38,3,38,38,38
2012,Import,25353.59,23,2,23,23,23
2019,Import,11136.011,23,2,23,23,23
2017,Import,7159353.877,28,2,28,28,28
2012,Export,1209591.097,37,3,37,37,37
2011,Import,4326805.61,13,1,13,13,13
2017,Export,109984.269,09,0,09,09,09
2011,Import,1967412.768,37,3,37,37,37
2009,Import,7131.619,08,0,08,08,08
2015,Export,47855.443,91,9,91,91,91
2015,Export,1976569.751,20,2,20,20,20
2016,Export,4009692.847,35,3,35,35,35
2019,Export,155533.235,02,0,02,02,02
2008,Export,21723.325,91,9,91,91,91
2018,Export,2234988.618,20,2,20,20,20
2019,Import,31352.16,27,2,27,27,27
2018,Import,130013.451,32,3,32,32,32
2013,Import,427922.324,26,2,26,26,26
2019,Import,50187.333,10,1,10,10,10
2009,Export,720.004,21,2,21,21,21
2013,Import,4538.001,31,3,31,31,31
2016,Export,964623.889,24,2,24,24,24
2011,Import,1861348.551,12,1,12,12,12
2017,Import,16040.475,09,0,09,09,09
2015,Import,2014.279,10,1,10,10,10
2009,Export,741978.695,26,2,26,26,26
2009,Import,11465.715,91,9,91,91,91
2014,Import,6185406.774,13,1,13,13,13
2010,Export,26843.984,91,9,91,91,91
2009,Export,6493.27,91,9,91,91,91
2016,Export,245407.229,38,3,38,38,38
2009,Import,5068.236,31,3,31,31,31
2019,Export,595559.412,34,3,34,34,34
2008,Export,125260.2,39,3,39,39,39
2012,Import,440032.481,29,2,29,29,29
2018,Import,15150.048,24,2,24,24,24
2008,Import,2241862.627,37,3,37,37,37
2016,Import,3073.823,10,1,10,10,10
2014,Export,244018.372,38,3,38,38,38
2010,Import,35475.546,91,9,91,91,91
2018,Export,333206.454,10,1,10,10,10
2013,Import,48364.125,27,2,27,27,27
2010,Import,7514797.374,28,2,28,28,28
2019,Import,41558.973,91,9,91,91,91
2011,Export,122033.757,39,3,39,39,39
2014,Export,30318.128,23,2,23,23,23
2016,Export,50631.605,91,9,91,91,91
2013,Export,453028.749,30,3,30,30,30
2017,Import,1092.16,10,1,10,10,10
2015,Export,1212416.361,26,2,26,26,26
2015,Export,98148.174,02,0,02,02,02
2013,Import,12467.7,09,0,09,09,09
2009,Export,218852.35,29,2,29,29,29
2014,Export,130125.986,25,2,25,25,25
2008,Export,48060.665,27,2,27,27,27
2019,Export,986797.652,36,3,36,36,36
2016,Import,695408.666,20,2,20,20,20
2010,Export,536563.413,31,3,31,31,31
2010,Export,101073.929,25,2,25,25,25
2010,Export,2423895.131,33,3,33,33,33
2014,Import,9563282.899,28,2,28,28,28
2014,Import,1993220.117,38,3,38,38,38
2015,Export,255544.4,29,2,29,29,29
2008,Import,1260204.58,13,1,13,13,13
