Year,ProductCode,TradeFlowName,TradeValueK,first,second,third,fourth
2019,2321,Export,1080.084,2,23,232,2321
2011,3143,Export,73967.235,3,31,314,3143
2012,2337,Import,413.149,2,23,233,2337
2019,0173,Export,9283.423,0,01,017,0173
2015,2421,Export,136594.477,2,24,242,2421
2008,0132,Import,289.849,0,01,013,0132
2016,1455,Export,34375.585,1,14,145,1455
2010,0912,Export,29448.675,0,09,091,0912
2013,3965,Import,3667.323,3,39,396,3965
2014,2393,Export,202.72,2,23,239,2393
2017,2087,Import,13073.141,2,20,208,2087
2010,2677,Export,0.568,2,26,267,2677
2014,3593,Import,95964.626,3,35,359,3593
2014,2426,Import,676.806,2,24,242,2426
2010,2873,Import,34622.538,2,28,287,2873
2019,2046,Export,9956.639,2,20,204,2046
2018,2381,Export,9.415,2,23,238,2381
2009,2095,Import,329.386,2,20,209,2095
2019,2299,Import,2538.629,2,22,229,2299
2017,2752,Import,10251.127,2,27,275,2752
2018,0172,Export,8288.437,0,01,017,0172
2010,3991,Export,1299.957,3,39,399,3991
2012,2672,Import,89529.324,2,26,267,2672
2013,0181,Import,13148.701,0,01,018,0181
2019,3743,Export,16831.493,3,37,374,3743
2019,3792,Import,245.723,3,37,379,3792
2009,3552,Export,3178.007,3,35,355,3552
2015,0139,Export,4587.008,0,01,013,0139
2019,2273,Export,1646.063,2,22,227,2273
2015,2037,Export,389624.059,2,20,203,2037
2019,2384,Export,1.73,2,23,238,2384
2009,3641,Export,3038.776,3,36,364,3641
2009,2591,Export,9431.186,2,25,259,2591
2010,3357,Import,113556.609,3,33,335,3357
2016,2879,Import,555177.016,2,28,287,2879
2017,3292,Import,10129.465,3,32,329,3292
2019,2335,Export,3008.541,2,23,233,2335
2014,0273,Export,635.413,0,02,027,0273
2012,2131,Import,140.915,2,21,213,2131
2010,2074,Export,4295.163,2,20,207,2074
2019,3949,Import,6196.052,3,39,394,3949
2014,3253,Export,40480.269,3,32,325,3253
2010,2046,Import,14884.911,2,20,204,2046
2011,2678,Import,7.632,2,26,267,2678
2017,2411,Export,342557.223,2,24,241,2411
2017,2339,Export,4760.518,2,23,233,2339
2010,2514,Export,1242.604,2,25,251,2514
2019,2323,Export,3.657,2,23,232,2323
2019,2385,Import,227.442,2,23,238,2385
2009,2842,Import,10109.569,2,28,284,2842
2014,2816,Import,112442.398,2,28,281,2816
2011,2429,Import,103.693,2,24,242,2429
2011,3151,Import,252.231,3,31,315,3151
2018,0175,Export,30.46,0,01,017,0175
2015,2874,Import,617248.864,2,28,287,2874
2010,2024,Export,0.272,2,20,202,2024
2015,2091,Import,28.753,2,20,209,2091
2017,2836,Import,592642.966,2,28,283,2836
2016,1061,Export,33122.113,1,10,106,1061
2019,0174,Export,209.939,0,01,017,0174
2013,2082,Export,620.737,2,20,208,2082
2017,2841,Export,1189.895,2,28,284,2841
2018,1499,Import,6666.592,1,14,149,1499
2011,1411,Import,558.774,1,14,141,1411
2011,2211,Export,2647.525,2,22,221,2211
2019,2677,Export,1.124,2,26,267,2677
2011,3255,Export,5699.394,3,32,325,3255
2013,2429,Export,68.364,2,24,242,2429
2019,3331,Export,22.154,3,33,333,3331
2011,3011,Import,145052.515,3,30,301,3011
2014,2389,Import,87.16,2,23,238,2389
2012,0181,Import,14325.534,0,01,018,0181
2010,2721,Import,2337.797,2,27,272,2721
2010,2731,Export,5692.161,2,27,273,2731
2011,2037,Import,6913.728,2,20,203,2037
2018,2141,Import,73.197,2,21,214,2141
2013,3731,Import,1119.729,3,37,373,3731
2015,3661,Import,32222.653,3,36,366,3661
2015,1061,Export,37184.335,1,10,106,1061
2010,3356,Import,46171.195,3,33,335,3356
2008,2339,Export,5902.809,2,23,233,2339
2008,3199,Import,71.371,3,31,319,3199
2018,2771,Export,60.04,2,27,277,2771
2016,1499,Import,3865.888,1,14,149,1499
2013,0273,Import,326.679,0,02,027,0273
2010,1429,Import,509.863,1,14,142,1429
2009,2711,Export,1.619,2,27,271,2711
2015,2677,Import,20.583,2,26,267,2677
2018,3827,Import,9274.433,3,38,382,3827
2012,2079,Export,204.817,2,20,207,2079
2013,3331,Import,2692.247,3,33,333,3331
2013,2893,Export,134.3,2,28,289,2893
2017,0211,Import,14129.318,0,02,021,0211
2011,2297,Export,5991.54,2,22,229,2297
2019,3412,Import,845.042,3,34,341,3412
2013,2679,Import,6142.864,2,26,267,2679
2014,2841,Export,1318.88,2,28,284,2841
2010,2086,Export,1581.835,2,20,208,2086
2015,2231,Export,1935.762,2,22,223,2231
2008,2329,Export,221.911,2,23,232,2329
2014,1041,Export,0.1,1,10,104,1041
2008,2493,Import,115.222,2,24,249,2493
2019,3581,Export,20.727,3,35,358,3581
2018,3412,Export,27.366,3,34,341,3412
2018,1099,Export,23247.679,1,10,109,1099
2008,2741,Export,1573.381,2,27,274,2741
2008,3269,Export,3871.795,3,32,326,3269
2015,2095,Export,91875.717,2,20,209,2095
2018,3631,Import,1901.146,3,36,363,3631
2016,1221,Import,519265.262,1,12,122,1221
2010,2411,Export,293230.822,2,24,241,2411
