Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValueK,Quantity,ProductDescription,QtyUnit,NetWeightKG
IU,BRA,116,Brazil,USA,United States,2018,Export,6,964.831,943737,Soybeans,Kg,943737
IU,BRA,116,Brazil,USA,United States,2018,Import,5,0.02,20,Soybeans,Kg,20
IU,BRA,116,Brazil,USA,United States,2019,Export,6,1865.764,5501407.466,Soybeans,Kg,5501401
IU,BRA,116,Brazil,USA,United States,2019,Import,5,0.634,765,Soybeans,Kg,765
IU,BRA,119,Brazil,USA,United States,2008,Export,6,364.349,176269,"Cash grains, nspf",Kg,176269
IU,BRA,119,Brazil,USA,United States,2008,Import,5,1799.449,1740511,"Cash grains, nspf",Kg,1740511
IU,BRA,119,Brazil,USA,United States,2009,Export,6,1050.926,1022419,"Cash grains, nspf",Kg,1022419
IU,BRA,119,Brazil,USA,United States,2009,Import,5,568.031,234152,"Cash grains, nspf",Kg,234152
IU,BRA,119,Brazil,USA,United States,2010,Export,6,338.28,228138,"Cash grains, nspf",Kg,228138
IU,BRA,119,Brazil,USA,United States,2010,Import,5,770.501,561458,"Cash grains, nspf",Kg,561458
IU,BRA,119,Brazil,USA,United States,2011,Export,6,142.044,93482,"Cash grains, nspf",Kg,93482
IU,BRA,119,Brazil,USA,United States,2011,Import,5,427.198,110533,"Cash grains, nspf",Kg,110533
IU,BRA,119,Brazil,USA,United States,2012,Export,6,512.066,341548,"Cash grains, nspf",Kg,341548
IU,BRA,119,Brazil,USA,United States,2012,Import,5,589.695,140605,"Cash grains, nspf",Kg,140605
IU,BRA,119,Brazil,USA,United States,2013,Export,6,638.593,346647,"Cash grains, nspf",Kg,346647
IU,BRA,119,Brazil,USA,United States,2013,Import,5,8814.664,1344580,"Cash grains, nspf",Kg,1344580
IU,BRA,119,Brazil,USA,United States,2014,Export,6,561.236,250991,"Cash grains, nspf",Kg,250991
IU,BRA,119,Brazil,USA,United States,2014,Import,5,2245.714,797291,"Cash grains, nspf",Kg,797291
IU,BRA,119,Brazil,USA,United States,2015,Export,6,1648.642,2937754,"Cash grains, nspf",Kg,2937754
IU,BRA,119,Brazil,USA,United States,2015,Import,5,1337.767,1211421,"Cash grains, nspf",Kg,1211421
IU,BRA,119,Brazil,USA,United States,2016,Export,6,374.627,216601,"Cash grains, nspf",Kg,216601
IU,BRA,119,Brazil,USA,United States,2016,Import,5,14580.868,14315862,"Cash grains, nspf",Kg,14315862
IU,BRA,119,Brazil,USA,United States,2017,Export,6,623.069,481285,"Cash grains, nspf",Kg,481285
